Feature,Gain,Split,Gain_pct
rolling_mean_7,146388900334.0,315,67.585
rolling_mean_30,16560429726.0,129,7.646
lag_3,15445604441.0,132,7.131
lag_21,11197086832.0,81,5.169
lag_7,7162931723.0,148,3.307
price_change_7d,6940396486.0,328,3.204
District,4593238474.0,322,2.121
rolling_std_30,2050693897.0,133,0.947
price_change_30d,1604611594.0,167,0.741
WeekOfYear,1270106052.0,184,0.586
lag_30,1041256089.0,97,0.481
Year,542144110.0,45,0.25
rolling_std_7,491064821.0,131,0.227
month_sin,454297080.0,69,0.21
records_aggregated,412576246.0,19,0.19
Month,291163340.0,53,0.134
lag_14,153656181.0,41,0.071
