Feature,Gain,Split,Gain_pct
lag_1,264623515580.3125,2073,35.814
rolling_mean_7,193046346287.9209,1854,26.127
lag_3,62394679379.09277,1520,8.444
lag_7,57719938375.01367,1784,7.812
price_change_7d,37372886946.586426,2401,5.058
month_sin,26700095069.597656,345,3.614
price_change_30d,24949622823.109375,1991,3.377
price_change_1d,17381572950.296875,2739,2.352
rolling_mean_30,12947450480.003906,1459,1.752
WeekOfYear,10959128504.699219,2366,1.483
lag_30,7850550664.205078,1397,1.062
Month,5028787501.802734,567,0.681
rolling_std_30,4140121437.7382812,1478,0.56
lag_14,3978914710.2226562,1501,0.539
lag_21,3210816671.9503174,1700,0.435
rolling_std_7,2523529964.7402344,1570,0.342
District,1942634355.296875,1406,0.263
month_cos,852430779.6953125,251,0.115
Year,802778946.4921875,271,0.109
records_aggregated,458742137.00927734,410,0.062
