Feature,Gain,Split,Gain_pct
lag_1,261645683957.0,858,45.782
rolling_mean_7,109914930226.0,292,19.233
rolling_mean_30,44259232645.0,217,7.744
lag_3,41189663080.0,312,7.207
price_change_1d,28156206985.0,861,4.927
lag_7,24477017961.0,326,4.283
price_change_7d,21505218700.0,595,3.763
price_change_30d,15427625965.800781,400,2.699
lag_14,7674105578.0,203,1.343
District,5675787834.0,622,0.993
WeekOfYear,3316509270.0,479,0.58
lag_30,2546340632.0,209,0.446
month_cos,1608951008.0,141,0.282
lag_21,1274050860.1015625,208,0.223
rolling_std_30,1186324800.0,189,0.208
Month,513518521.0,102,0.09
rolling_std_7,507865328.6015625,187,0.089
Year,340495571.0,99,0.06
records_aggregated,143882624.0,66,0.025
month_sin,142117973.0,51,0.025
