Feature,Gain,Split,Gain_pct
WeekOfYear,436173688389.0,2514,61.055
price_change_30d,63797414410.0,722,8.93
rolling_mean_7,41152521605.0,800,5.76
District,40585349403.0,2338,5.681
lag_30,30273957247.0,489,4.238
Month,29116336588.0,179,4.076
Year,22681484188.0,448,3.175
month_sin,17488443360.0,256,2.448
lag_14,10458259740.0,516,1.464
rolling_std_30,7676569286.0,562,1.075
lag_21,7011802460.0,422,0.982
rolling_mean_30,5682228656.0,420,0.795
rolling_std_7,1439904798.0,227,0.202
records_aggregated,765164363.0,72,0.107
month_cos,91887230.0,35,0.013
