Feature,Gain,Split,Gain_pct
rolling_mean_7,226875987758.0,345,75.672
lag_3,21453420082.0,79,7.156
lag_7,20331396608.0,76,6.781
District,11719317040.0,353,3.909
price_change_7d,9968733272.0,367,3.325
month_cos,2105180222.0,102,0.702
WeekOfYear,1855181470.0,178,0.619
price_change_30d,1552621546.0,98,0.518
rolling_std_30,1165252775.0,63,0.389
rolling_mean_30,639643480.0,31,0.213
month_sin,591104000.0,53,0.197
rolling_std_7,486411300.0,47,0.162
Month,432344560.0,30,0.144
lag_21,248254103.0,31,0.083
lag_30,208869960.0,25,0.07
lag_14,99485268.0,24,0.033
records_aggregated,82115860.0,14,0.027
