Feature,Gain,Split,Gain_pct
rolling_mean_7,496595747245.3008,1429,59.715
lag_1,195379500945.0,1353,23.494
lag_3,33352402309.5,850,4.011
lag_7,23738285940.0,663,2.855
price_change_7d,18350447943.0,1452,2.207
price_change_1d,17401899080.0,1559,2.093
rolling_mean_30,13875049132.487656,505,1.668
District,10089651119.0,1755,1.213
lag_14,4970927756.0,775,0.598
price_change_30d,3834060324.0,891,0.461
rolling_std_7,2910033153.1992188,1159,0.35
WeekOfYear,2844607820.0,612,0.342
lag_21,2179907734.0,654,0.262
month_cos,2168847928.0,408,0.261
rolling_std_30,2123960540.3984375,586,0.255
lag_30,882498285.3984375,398,0.106
month_sin,456434129.0,166,0.055
Month,230489199.0,58,0.028
records_aggregated,218814792.0,96,0.026
