Feature,Gain,Split,Gain_pct
rolling_mean_7,382015721335.1416,4086,56.829
lag_1,174610841866.44873,4511,25.975
lag_3,62197918747.38721,2350,9.253
lag_7,18215078371.285522,2457,2.71
price_change_7d,10071792599.593384,5754,1.498
price_change_1d,9634494544.740234,6118,1.433
rolling_mean_30,3370173438.661865,2842,0.501
WeekOfYear,2075859260.8394318,3821,0.309
price_change_30d,1928048500.4620972,3136,0.287
rolling_std_7,1849375029.273468,4217,0.275
District,1721771871.1210938,2893,0.256
lag_14,1475777128.6564941,2808,0.22
rolling_std_30,1125492798.6225586,3352,0.167
lag_21,960472022.2797852,2205,0.143
Month,478701779.4042969,979,0.071
month_sin,329264620.3017578,841,0.049
Year,162837490.54125977,507,0.024
