Feature,Gain,Split,Gain_pct
rolling_mean_7,63606614406.20703,735,72.975
lag_1,14629694698.5,646,16.784
lag_3,3713036779.890625,127,4.26
price_change_7d,1650991012.0591736,742,1.894
price_change_1d,1409182222.3007812,788,1.617
lag_7,750924255.5,227,0.862
District,331943330.8046875,475,0.381
rolling_std_7,318202059.00878906,227,0.365
price_change_30d,214538982.30273438,284,0.246
rolling_mean_30,195795511.30078125,108,0.225
rolling_std_30,94886511.87060547,97,0.109
WeekOfYear,64926663.912109375,156,0.074
lag_30,48402775.59765625,34,0.056
lag_14,46238092.90234375,73,0.053
month_sin,45277681.6015625,94,0.052
lag_21,16711636.172363281,59,0.019
month_cos,13276421.0,43,0.015
Year,12043692.0,22,0.014
