District,Commodity,Arrival_Date,Modal_Price,min_price_zero_flag,is_outlier_iqr,records_aggregated,Year,Month,DayOfWeek,WeekOfYear,Quarter,lag_1,lag_3,lag_7,lag_14,lag_21,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_std_30,days_since_last_observation,month_sin,month_cos,dow_sin,dow_cos,price_change_1d,price_change_7d,price_change_30d
Villupuram,Onion,2026-06-15,2750.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,2875.0,2875.0,2750.0,2375.0,2375.0,2375.0,2839.285714285714,2559.1666666666665,60.99375455928583,223.84601901734808,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.043478260869565216,0.0,0.15789473684210525
Kanyakumari,Green Chilli,2026-06-15,6625.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,5750.0,5250.0,6475.0,7125.0,7125.0,7000.0,6067.857142857143,6670.0,493.861123721854,506.86664232664833,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.15217391304347827,0.023166023166023165,-0.05357142857142857
Villupuram,Mint(Pudina),2026-06-15,3500.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,3500.0,3000.0,3000.0,2750.0,2500.0,3000.0,3142.8571428571427,2875.0,243.9750182371332,268.6973685432522,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
Kanyakumari,Mint(Pudina),2026-06-15,9500.0,False,True,1.0,2026.0,6.0,0.0,25.0,2.0,7750.0,7750.0,7750.0,6750.0,6750.0,6750.0,7892.857142857143,6970.0,243.97501823712403,654.6386210253136,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.22580645161290322,0.22580645161290322,0.4074074074074074
Kanyakumari,Onion,2026-06-15,3750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3250.0,3000.0,3500.0,3050.0,2350.0,2800.0,3321.4285714285716,2881.6666666666665,188.98223650461355,311.4159357795935,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.15384615384615385,0.07142857142857142,0.3392857142857143
Kanyakumari,Pumpkin,2026-06-15,1875.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,1875.0,1800.0,1875.0,1875.0,1875.0,1975.0,1850.0,1920.0,40.824829046385226,79.16591046221684,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.05063291139240506
Erode,Tomato,2026-06-15,3575.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3600.0,3900.0,4225.0,3750.0,4150.0,3750.0,3989.285714285714,3925.0,217.39803302220207,219.81575356934346,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.006944444444444444,-0.15384615384615385,-0.04666666666666667
Ariyalur,Cabbage,2026-06-15,4250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4100.0,4000.0,3975.0,3600.0,3925.0,3500.0,3882.1428571428573,3855.8333333333335,266.0334744422696,356.3272501443006,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.036585365853658534,0.06918238993710692,0.21428571428571427
Villupuram,Green Chilli,2026-06-15,4000.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4000.0,4000.0,4000.0,3750.0,3875.0,3750.0,4000.0,3895.8333333333335,0.0,114.10886614710714,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.06666666666666667
Kallakuruchi,Banana - Green,2026-06-15,3000.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Kanyakumari,Tomato,2026-06-15,4750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,5250.0,4250.0,4750.0,3750.0,5035.714285714285,4488.333333333333,267.2612419124282,475.91714240692346,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.09523809523809523,0.26666666666666666
Virudhunagar,Bhindi(Ladies Finger),2026-06-15,3000.0,False,False,8.0,2026.0,6.0,0.0,25.0,2.0,3000.0,2750.0,2250.0,1875.0,2250.0,2750.0,2471.4285714285716,2395.0,355.73532161934463,384.1358416336818,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.3333333333333333,0.09090909090909091
Kancheepuram,Onion,2026-06-15,2500.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2700.0,2600.0,2750.0,2625.0,2500.0,2685.714285714286,2584.1666666666665,83.98554297360452,100.31917454607698,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.09090909090909091,-0.038461538461538464,0.0
Virudhunagar,Onion,2026-06-15,3250.0,False,False,8.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2750.0,2750.0,2750.0,2500.0,2950.0,2750.0,2650.0,0.0,186.7369531056253,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.18181818181818182,0.18181818181818182,0.1016949152542373
Kallakuruchi,Mint(Pudina),2026-06-15,3000.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3000.0,3000.0,3000.0,3000.0,3000.0,3500.0,3000.0,3033.3333333333335,0.0,126.85406585123125,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.14285714285714285
Kallakuruchi,Onion,2026-06-15,3500.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3500.0,3500.0,3500.0,3250.0,3000.0,3000.0,3392.8571428571427,3191.6666666666665,133.63062095621208,233.81518391648356,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.16666666666666666
Virudhunagar,Mint(Pudina),2026-06-15,5625.0,False,False,8.0,2026.0,6.0,0.0,25.0,2.0,5500.0,5250.0,4500.0,3750.0,3750.0,3750.0,5017.857142857143,4044.1666666666665,341.7827909513239,593.0518430168976,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.022727272727272728,0.25,0.5
Kallakuruchi,Pumpkin,2026-06-15,2750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2500.0,2500.0,2500.0,2500.0,3750.0,2571.4285714285716,2558.3333333333335,121.98750911856656,233.8151839164616,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.1,-0.26666666666666666
Kallakuruchi,Tomato,2026-06-15,4250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4250.0,4500.0,4800.0,3750.0,3900.0,4000.0,4571.428571428572,4113.333333333333,241.27636791505915,369.51350433380645,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.11458333333333333,0.0625
Kallakuruchi,Coconut,2026-06-15,4375.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4500.0,4375.0,4375.0,4375.0,4375.0,4375.0,4392.857142857143,4383.333333333333,47.245559126153346,31.713516462670416,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.027777777777777776,0.0,0.0
Virudhunagar,Green Chilli,2026-06-15,5750.0,False,False,8.0,2026.0,6.0,0.0,25.0,2.0,5750.0,5500.0,7500.0,6625.0,5500.0,5750.0,6142.857142857143,6066.666666666667,931.0292563558712,718.2453875811875,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.23333333333333334,0.0
Kancheepuram,Banana - Green,2026-06-15,3000.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,3000.0,3000.0,3125.0,3000.0,2750.0,3000.0,3017.8571428571427,2991.6666666666665,47.24555912615345,79.96047874365851,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.04,0.0
Kallakuruchi,Bitter Gourd,2026-06-15,5250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,5250.0,5250.0,4000.0,4000.0,5250.0,5250.0,5071.428571428572,4858.333333333333,472.45559126153404,621.7443943889086,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.3125,0.0
Virudhunagar,Coconut,2026-06-15,5750.0,False,False,8.0,2026.0,6.0,0.0,25.0,2.0,5650.0,5250.0,5125.0,5250.0,5375.0,5525.0,5325.0,5378.333333333333,182.00274723201665,134.82641031902057,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.017699115044247787,0.12195121951219512,0.04072398190045249
Kancheepuram,Bitter Gourd,2026-06-15,4625.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3500.0,4000.0,4000.0,3250.0,3750.0,3750.0,3928.5714285714284,3783.3333333333335,188.98223650461358,243.30105281082626,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.2962962962962963,0.15625,0.23333333333333334
Virudhunagar,Cabbage,2026-06-15,4750.0,False,False,8.0,2026.0,6.0,0.0,25.0,2.0,4750.0,5000.0,5500.0,4750.0,4250.0,4500.0,5132.142857142857,4708.333333333333,402.2629440931345,460.15052509709756,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.13636363636363635,0.05555555555555555
Kancheepuram,Cabbage,2026-06-15,3625.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,3425.0,3000.0,3000.0,2750.0,2400.0,2500.0,3167.8571428571427,2825.0,301.632463201741,320.76148620818674,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.058394160583941604,0.20833333333333334,0.45
Kallakuruchi,Cabbage,2026-06-15,5000.0,False,False,1.0,2026.0,6.0,0.0,25.0,2.0,5000.0,5000.0,5000.0,,4000.0,3500.0,5000.0,4517.241379310345,0.0,558.7415486847191,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.42857142857142855
Kancheepuram,Coconut,2026-06-15,5500.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,5500.0,5000.0,5375.0,5625.0,5625.0,5625.0,5357.142857142857,5577.5,209.52042746188346,166.13636899680017,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.023255813953488372,-0.022222222222222223
Ariyalur,Bhindi(Ladies Finger),2026-06-15,3075.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3300.0,3500.0,3175.0,3300.0,4075.0,3800.0,3421.4285714285716,3582.5,196.01688459831524,233.70608567762463,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.06818181818181818,-0.031496062992125984,-0.19078947368421054
Kancheepuram,Green Chilli,2026-06-15,3750.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,4000.0,5000.0,4750.0,3750.0,3250.0,3500.0,4642.857142857143,3941.6666666666665,349.31906550288585,668.5139636090183,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.0625,-0.21052631578947367,0.07142857142857142
Virudhunagar,Bitter Gourd,2026-06-15,5750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,6550.0,5500.0,5750.0,5500.0,5500.0,5525.0,5900.0,5673.333333333333,391.57800414902346,241.1300026145326,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.12213740458015267,0.0,0.04072398190045249
Kancheepuram,Mint(Pudina),2026-06-15,4750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4125.0,3250.0,3500.0,3500.0,2750.0,2750.0,3500.0,3362.5,525.3966755382721,425.9244509664161,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.15151515151515152,0.35714285714285715,0.7272727272727273
Kancheepuram,Bhindi(Ladies Finger),2026-06-15,3500.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4000.0,4000.0,3875.0,3750.0,4250.0,4000.0,4000.0,3912.5,125.00000000000078,241.5601231648941,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.125,-0.0967741935483871,-0.125
Madurai,Green Chilli,2026-06-15,4400.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,5500.0,3800.0,3800.0,4250.0,4400.0,4250.0,3914.285714285714,4373.333333333333,729.5628175572269,652.6779494874439,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.2,0.15789473684210525,0.03529411764705882
Karur,Banana - Green,2026-06-15,2750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2750.0,2775.0,2750.0,2750.0,3250.0,2753.5714285714284,2884.1666666666665,9.449111825230709,224.4229509643375,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.009009009009009009,-0.15384615384615385
Karur,Bhindi(Ladies Finger),2026-06-15,3750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3750.0,3750.0,3750.0,2250.0,3250.0,3750.0,3750.0,3266.6666666666665,0.0,594.2734383600013,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Krishnagiri,Coconut,2026-06-15,4500.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,5250.0,5250.0,5000.0,5500.0,5500.0,5500.0,5214.285714285715,5400.0,94.49111825231101,140.81046199380225,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.14285714285714285,-0.1,-0.18181818181818182
Nilgiris,Cabbage,2026-06-15,2250.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,3250.0,2750.0,2250.0,2250.0,2250.0,1800.0,2750.0,2280.0,408.24829046386265,365.4472932420485,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.2222222222222222,0.0,0.25
Krishnagiri,Green Chilli,2026-06-15,4500.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,4500.0,4500.0,4650.0,4000.0,3750.0,3750.0,4521.428571428572,4230.0,56.69467095138406,410.97025649575255,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.03225806451612903,0.2
Krishnagiri,Mint(Pudina),2026-06-15,3750.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,3750.0,3500.0,3500.0,3750.0,3750.0,2750.0,3607.1428571428573,3475.0,133.63062095621208,349.56869977455784,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.07142857142857142,0.36363636363636365
Erode,Coconut,2026-06-15,3725.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3725.0,3725.0,3725.0,3700.0,4200.0,4250.0,3721.4285714285716,3936.6666666666665,17.251638984112383,261.686616122276,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.12352941176470589
Vellore,Mint(Pudina),2026-06-15,3750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,4000.0,3500.0,4000.0,3000.0,3000.0,3000.0,3928.5714285714284,3275.0,188.98223650461358,461.2109248937812,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.0625,-0.0625,0.25
Krishnagiri,Onion,2026-06-15,2750.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2750.0,2750.0,2500.0,2250.0,2250.0,2750.0,2483.3333333333335,0.0,245.06625892684448,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.2222222222222222
Vellore,Green Chilli,2026-06-15,4250.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,4500.0,4500.0,4500.0,4000.0,3875.0,3425.0,4528.571428571428,3977.5,248.08792604160917,448.96192527302736,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.05555555555555555,-0.05555555555555555,0.24087591240875914
Krishnagiri,Pumpkin,2026-06-15,2250.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,2250.0,2250.0,2250.0,2200.0,2000.0,1750.0,2250.0,2065.0,0.0,201.78086440832797,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.2857142857142857
Vellore,Pumpkin,2026-06-15,2500.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,2500.0,2250.0,2250.0,2250.0,2000.0,1800.0,2307.1428571428573,2113.3333333333335,101.77004891982142,158.62193902559147,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.1111111111111111,0.3888888888888889
Krishnagiri,Tomato,2026-06-15,3250.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,3250.0,3250.0,3750.0,2750.0,3250.0,3500.0,3446.4285714285716,3445.8333333333335,248.507449346996,378.1239610036183,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.13333333333333333,-0.07142857142857142
Erode,Cabbage,2026-06-15,3250.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,3250.0,3250.0,3200.0,2800.0,2250.0,2500.0,3242.8571428571427,2811.6666666666665,18.898223650429845,427.23718142901816,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.015625,0.3
Ariyalur,Mint(Pudina),2026-06-15,4250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4250.0,3375.0,3750.0,3750.0,4000.0,3800.0,3714.285714285714,3812.5,310.8647692516865,172.9248890164988,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.13333333333333333,0.11842105263157894
Vellore,Coconut,2026-06-15,3125.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3250.0,3500.0,3500.0,3500.0,3500.0,3250.0,3285.714285714286,3325.0,224.9338527106099,209.16500663351354,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.038461538461538464,-0.10714285714285714,-0.038461538461538464
Madurai,Bhindi(Ladies Finger),2026-06-15,2900.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,3000.0,3200.0,2200.0,1200.0,2250.0,2750.0,2707.1428571428573,2246.6666666666665,396.26229889280404,579.3773907562903,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.03333333333333333,0.3181818181818182,0.05454545454545454
Madurai,Bitter Gourd,2026-06-15,4750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,5250.0,4625.0,5750.0,3300.0,4750.0,4250.0,5232.142857142857,4491.666666666667,458.87413981447696,677.0668654053882,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.09523809523809523,-0.17391304347826086,0.11764705882352941
Vellore,Cabbage,2026-06-15,4750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,4000.0,3500.0,3000.0,2750.0,4371.428571428572,3553.3333333333335,312.05921294034823,576.1694753870717,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.1875,0.7272727272727273
Madurai,Cabbage,2026-06-15,4325.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4400.0,4400.0,4900.0,3650.0,3250.0,3250.0,4439.285714285715,3927.5,211.07716936840288,611.5395354744226,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.017045454545454544,-0.11734693877551021,0.33076923076923076
Madurai,Coconut,2026-06-15,4800.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,4800.0,4800.0,4800.0,5300.0,5300.0,5300.0,4800.0,5116.666666666667,0.0,245.06625892693057,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.09433962264150944
Erode,Bitter Gourd,2026-06-15,3775.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3450.0,3550.0,4075.0,4375.0,4950.0,4650.0,3910.714285714286,4435.0,402.0409242376831,535.4501812043252,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.09420289855072464,-0.0736196319018405,-0.1881720430107527
Madurai,Banana - Green,2026-06-15,2150.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,2150.0,2075.0,2200.0,2150.0,2200.0,2225.0,2167.8571428571427,2184.1666666666665,47.24555912615466,68.6957727622482,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.022727272727272728,-0.033707865168539325
Villupuram,Coconut,2026-06-15,5250.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,5250.0,5250.0,5250.0,5250.0,5750.0,5750.0,5250.0,5491.666666666667,0.0,249.85628052850856,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.08695652173913043
Erode,Green Chilli,2026-06-15,4625.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,4300.0,4400.0,4450.0,4775.0,4525.0,4975.0,4475.0,4614.166666666667,118.14539065631732,220.1765879586135,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0755813953488372,0.03932584269662921,-0.07035175879396985
Ariyalur,Green Chilli,2026-06-15,4850.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4775.0,4500.0,4600.0,4375.0,4925.0,4750.0,4650.0,4955.833333333333,294.0379794062709,433.44466960524574,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.015706806282722512,0.05434782608695652,0.021052631578947368
Erode,Pumpkin,2026-06-15,2050.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,2025.0,1900.0,2000.0,1900.0,1825.0,1600.0,1985.7142857142858,1891.6666666666667,59.26132602216018,121.11787741653374,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.012345679012345678,0.025,0.28125
Villupuram,Cabbage,2026-06-15,4500.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,4500.0,4000.0,4000.0,4000.0,3600.0,3600.0,4142.857142857143,3878.3333333333335,243.9750182371332,254.50538011159176,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.125,0.25
Karur,Bitter Gourd,2026-06-15,3600.0,False,False,1.0,2026.0,6.0,0.0,25.0,2.0,3600.0,3150.0,3600.0,3600.0,4150.0,4500.0,3471.4285714285716,3848.3333333333335,219.57751641341864,460.03810436883424,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.2
Karur,Cabbage,2026-06-15,5750.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,6250.0,5750.0,5750.0,4750.0,3750.0,4750.0,6107.142857142857,5100.0,243.97501823714876,832.0104442315334,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.08,0.0,0.21052631578947367
Villupuram,Bitter Gourd,2026-06-15,4750.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,5000.0,5000.0,5000.0,5000.0,4750.0,4500.0,5000.0,4845.833333333333,5.690167957373161e-05,293.02843022406864,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.05,-0.05,0.05555555555555555
Karur,Coconut,2026-06-15,4750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,4750.0,4750.0,5250.0,5750.0,4750.0,5050.0,0.0,402.84548248505666,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.17391304347826086
Karur,Green Chilli,2026-06-15,6500.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,6500.0,6500.0,6500.0,7500.0,6250.0,6250.0,6500.0,6522.5,0.0,472.1717067864661,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.04
Erode,Onion,2026-06-15,2800.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,3200.0,3100.0,2750.0,2600.0,2300.0,2700.0,2928.5714285714284,2596.6666666666665,195.48474547719798,280.0656737431396,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.125,0.01818181818181818,0.037037037037037035
Ariyalur,Coconut,2026-06-15,5700.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,5575.0,5875.0,5350.0,6000.0,5300.0,5400.0,5585.714285714285,5627.5,197.8304950251677,229.81908176830353,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.02242152466367713,0.06542056074766354,0.05555555555555555
Krishnagiri,Cabbage,2026-06-15,3750.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,3625.0,3625.0,3250.0,2750.0,2750.0,2250.0,3589.285714285714,2912.5,156.6957926320015,518.1511395802155,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.034482758620689655,0.15384615384615385,0.6666666666666666
Karur,Mint(Pudina),2026-06-15,4250.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,4250.0,4250.0,3750.0,3750.0,3750.0,3750.0,4035.714285714286,3816.6666666666665,267.2612419124241,172.87295182088033,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.13333333333333333,0.13333333333333333
Karur,Onion,2026-06-15,2750.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2750.0,2750.0,2750.0,2300.0,2550.0,2750.0,2610.0,0.0,160.49492418659068,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0784313725490196
Karur,Pumpkin,2026-06-15,2525.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,2525.0,2525.0,2725.0,2775.0,2725.0,2725.0,2596.4285714285716,2717.5,106.48608225625419,180.05626515255906,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.07339449541284404,-0.07339449541284404
Villupuram,Banana - Green,2026-06-15,3500.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Karur,Tomato,2026-06-15,4250.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,4250.0,4350.0,4250.0,3550.0,3800.0,3750.0,4357.142857142857,4003.3333333333335,327.14493657065566,342.6401886098401,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.13333333333333333
Erode,Mint(Pudina),2026-06-15,4525.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3750.0,3750.0,4025.0,3750.0,3800.0,3775.0,3835.714285714286,3784.1666666666665,138.3362019209305,70.85783889826693,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.20666666666666667,0.12422360248447205,0.1986754966887417
Vellore,Tomato,2026-06-15,2925.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3500.0,3225.0,3750.0,2900.0,3100.0,2650.0,3714.285714285714,3248.3333333333335,346.96816102043067,354.46252010744973,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.16428571428571428,-0.22,0.10377358490566038
Krishnagiri,Banana - Green,2026-06-15,3500.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,3500.0,3500.0,3500.0,3750.0,3750.0,3750.0,3535.714285714286,3633.3333333333335,94.49111825230679,126.8540658512399,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.06666666666666667
Krishnagiri,Bhindi(Ladies Finger),2026-06-15,3250.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,3250.0,3250.0,2250.0,2750.0,2750.0,4250.0,3000.0,2975.0,433.0127018922266,581.1329600370253,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.4444444444444444,-0.23529411764705882
Krishnagiri,Bitter Gourd,2026-06-15,3800.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,4500.0,3750.0,3750.0,4500.0,4250.0,4500.0,3971.4285714285716,4268.333333333333,361.5443067098191,356.8258856132519,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.15555555555555556,0.013333333333333334,-0.15555555555555556
Villupuram,Bhindi(Ladies Finger),2026-06-15,3250.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,3500.0,3500.0,3000.0,2750.0,3625.0,4000.0,3357.1428571428573,3508.3333333333335,377.964473009227,496.68440915621824,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.07142857142857142,0.08333333333333333,-0.1875
Vellore,Onion,2026-06-15,2750.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2600.0,2750.0,2500.0,2400.0,2400.0,2735.714285714286,2543.3333333333335,80.17837257372743,135.655073073416,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.14583333333333334
