Feature,Gain,Split,Gain_pct
rolling_mean_7,124012903752.1919,758,61.308
rolling_mean_30,29271446373.828156,346,14.471
lag_3,24918552149.109375,375,12.319
District,10631973077.0,605,5.256
lag_7,7719011861.9921875,363,3.816
price_change_7d,1368672261.8046875,666,0.677
price_change_30d,1163784728.1015625,855,0.575
lag_14,745975267.796875,303,0.369
rolling_std_7,668754214.4023438,588,0.331
WeekOfYear,499297803.88964844,451,0.247
lag_21,478775728.00390625,204,0.237
rolling_std_30,404471687.3546753,374,0.2
lag_30,268806409.9873047,173,0.133
records_aggregated,124985889.90136719,96,0.062
