Feature,Gain,Split,Gain_pct
rolling_mean_7,15426924817.625977,816,43.342
rolling_mean_30,9669360272.081543,1130,27.166
District,2560989904.1015625,1503,7.195
price_change_30d,2316994804.5859375,668,6.51
rolling_std_30,1518345837.7954102,1191,4.266
WeekOfYear,1267381060.597168,1314,3.561
month_sin,858979209.0439453,429,2.413
lag_14,487689523.5371094,361,1.37
Year,350737500.30859375,284,0.985
rolling_std_7,315008881.41078186,696,0.885
month_cos,303547762.7841797,324,0.853
lag_30,266756273.49902344,390,0.749
lag_21,250536560.40039062,366,0.704
