Feature,Gain,Split,Gain_pct
rolling_mean_7,629808458897.0,828,42.677
lag_1,475382583471.0,1183,32.213
lag_3,108540396175.69922,181,7.355
lag_7,103250037032.0,414,6.996
price_change_7d,45538793700.0,979,3.086
price_change_1d,39889290230.0,1326,2.703
rolling_mean_30,22940214999.0,75,1.554
price_change_30d,22750431288.0,435,1.542
District,6977272224.0,694,0.473
rolling_std_30,5975358550.0,74,0.405
is_outlier_iqr,5144724156.0,71,0.349
lag_30,3354399874.0,118,0.227
WeekOfYear,2082052387.0,283,0.141
month_cos,1580980632.0,133,0.107
rolling_std_7,928106941.3984375,129,0.063
month_sin,735055560.0,121,0.05
lag_21,353522590.0,78,0.024
Year,233779701.0,62,0.016
Month,189533850.0,29,0.013
records_aggregated,98311400.0,24,0.007
