Feature,Gain,Split,Gain_pct
rolling_mean_7,185860067833.0,427,42.008
rolling_mean_30,97084934570.0,168,21.943
lag_7,50331132616.0,163,11.376
District,47806087592.0,576,10.805
price_change_7d,13924692086.0,443,3.147
lag_14,11101795219.0,56,2.509
WeekOfYear,9394125357.0,384,2.123
price_change_30d,9198350060.0,196,2.079
lag_30,3806439098.0,105,0.86
Year,3567246786.0,73,0.806
lag_21,3450637998.0,51,0.78
month_sin,1856238529.0,121,0.42
rolling_std_30,1740986815.0,139,0.393
records_aggregated,1641695652.0,25,0.371
Month,1026191874.0,72,0.232
rolling_std_7,652167073.0,83,0.147
