Feature,Gain,Split,Gain_pct
rolling_mean_7,137195244404.8086,480,91.781
WeekOfYear,4052387756.840576,639,2.711
District,2417243995.6953125,959,1.617
month_sin,2411256140.5,163,1.613
lag_14,884991703.40625,186,0.592
price_change_7d,531068688.39453125,289,0.355
price_change_30d,438047802.7910156,219,0.293
rolling_mean_30,385716101.3046875,272,0.258
Month,264700484.796875,66,0.177
rolling_std_30,258140271.49902344,274,0.173
lag_30,251044198.90625,138,0.168
Year,249668042.6015625,41,0.167
lag_7,87516291.60546875,149,0.059
records_aggregated,53581127.0,39,0.036
