Feature,Gain,Split,Gain_pct
rolling_mean_7,486153559187.0,2626,78.169
lag_3,77378056367.60156,1027,12.442
price_change_7d,14568309128.0,2913,2.342
rolling_mean_30,8099748280.204102,1146,1.302
lag_7,7921191447.912109,1003,1.274
District,7125740455.0,2686,1.146
price_change_30d,5620139668.402344,1223,0.904
WeekOfYear,5073139566.696777,2134,0.816
rolling_std_30,2465242283.8964844,1115,0.396
rolling_std_7,1877194548.5039062,1137,0.302
Month,1697020914.0,647,0.273
month_sin,1486804556.0,601,0.239
lag_14,1157062578.3984375,730,0.186
lag_21,798815184.1953125,583,0.128
Year,501397430.0,369,0.081
