Feature,Gain,Split,Gain_pct
rolling_mean_7,18430285527.5,306,57.622
lag_3,8215888474.1015625,177,25.687
lag_7,2394559058.0,132,7.487
price_change_7d,899852983.0,337,2.813
rolling_mean_30,489197900.1015625,105,1.529
District,401481367.296875,346,1.255
price_change_30d,291369067.59375,170,0.911
rolling_std_7,270629525.09765625,165,0.846
rolling_std_30,124063302.8046875,140,0.388
lag_14,118593560.0,55,0.371
WeekOfYear,110300340.796875,140,0.345
month_sin,103895368.29882812,119,0.325
lag_30,60891243.80078125,59,0.19
Year,39460635.3984375,39,0.123
month_cos,21290313.796875,27,0.067
lag_21,12877527.203125,35,0.04
