Feature,Gain,Split,Gain_pct
rolling_mean_7,127415562940.0,139,55.881
District,27368731420.0,328,12.003
WeekOfYear,24744470512.0,278,10.852
month_cos,15715899948.0,60,6.893
month_sin,10100530478.0,49,4.43
Year,6590506312.0,102,2.89
price_change_30d,5939782546.0,74,2.605
rolling_std_30,4768865146.0,24,2.091
lag_30,1897655462.0,42,0.832
lag_21,1640455470.0,31,0.719
rolling_mean_30,1524720332.0,39,0.669
rolling_std_7,140753590.0,11,0.062
Month,130386400.0,3,0.057
records_aggregated,34637700.0,2,0.015
is_outlier_iqr,0.0,0,0.0
