Feature,Gain,Split,Gain_pct
rolling_mean_7,318371489553.8008,540,42.981
lag_3,163694459859.0,551,22.099
price_change_7d,62470132479.0,640,8.434
lag_7,56932094159.0,482,7.686
WeekOfYear,45006000121.0,1041,6.076
price_change_30d,29067316049.0,550,3.924
month_sin,17205158201.0,225,2.323
Month,9422938452.0,196,1.272
rolling_mean_30,9120935667.101562,305,1.231
District,8982846309.0,599,1.213
lag_30,5608621543.0,279,0.757
lag_14,4143092969.0,355,0.559
rolling_std_30,3766770196.0,309,0.509
rolling_std_7,2047989376.0,232,0.276
Year,1992040642.0,111,0.269
lag_21,1742427282.0,259,0.235
month_cos,903124721.0,98,0.122
records_aggregated,241818238.0,46,0.033
