Feature,Gain,Split,Gain_pct
rolling_mean_7,225463678700.0,284,50.21
rolling_mean_30,86402542990.0,180,19.241
District,21781925466.0,414,4.851
lag_14,21643074938.0,140,4.82
WeekOfYear,21460623288.0,337,4.779
lag_7,18968686204.0,50,4.224
month_cos,17377815168.0,193,3.87
price_change_30d,14851413284.0,154,3.307
price_change_7d,7023401879.0,121,1.564
Month,4247263994.0,69,0.946
Year,3891355868.0,84,0.867
month_sin,1670335456.0,47,0.372
lag_30,1405887266.0,30,0.313
lag_21,1399692612.0,28,0.312
rolling_std_30,1342699550.0,50,0.299
records_aggregated,101327600.0,5,0.023
rolling_std_7,13140450.0,2,0.003
