Feature,Gain,Split,Gain_pct
rolling_mean_7,366966694119.39844,1543,59.116
lag_1,167512097291.29688,1672,26.985
lag_3,27105575605.29883,750,4.367
rolling_mean_30,18846044567.329773,777,3.036
price_change_7d,10572675803.49121,2086,1.703
price_change_1d,9688957081.510742,2053,1.561
lag_7,9391469904.176514,785,1.513
District,2536363209.0,1117,0.409
price_change_30d,1590176647.067871,899,0.256
rolling_std_7,1447349689.539795,1196,0.233
rolling_std_30,1131349313.1704102,865,0.182
WeekOfYear,1042653993.9003906,813,0.168
lag_30,741601113.1269531,515,0.119
lag_14,673233847.0869141,557,0.108
lag_21,542359001.1015625,515,0.087
month_sin,350552879.5078125,276,0.056
records_aggregated,227181046.8984375,206,0.037
Year,222471566.203125,152,0.036
Month,172803617.91601562,179,0.028
