Feature,Gain,Split,Gain_pct
rolling_mean_7,223905418505.09766,239,87.22
rolling_mean_30,21875171646.101562,121,8.521
District,4419773636.0,265,1.722
WeekOfYear,2442888069.3007812,247,0.952
month_sin,1399588781.0,79,0.545
price_change_30d,1128667406.0,133,0.44
lag_14,835743881.0,63,0.326
rolling_std_30,568579864.0,118,0.221
Month,137325395.0,16,0.053
