Feature,Gain,Split,Gain_pct
rolling_mean_7,77199107118.7998,515,52.177
District,24651179814.0,853,16.661
rolling_mean_30,9434821592.5,516,6.377
WeekOfYear,8954342295.0,630,6.052
month_cos,5876622827.0,279,3.972
price_change_30d,5285358064.599609,450,3.572
Month,3799628111.0,133,2.568
rolling_std_30,3165940555.5,569,2.14
month_sin,2635305488.0,129,1.781
records_aggregated,1497623938.296875,226,1.012
lag_14,1443659350.1015625,273,0.976
rolling_std_7,1397016098.0,389,0.944
lag_30,1372269049.0,294,0.927
lag_21,1244728852.6992188,273,0.841
