Feature,Gain,Split,Gain_pct
rolling_mean_7,447047436880.0,413,76.58
lag_3,61898189726.0,65,10.603
price_change_7d,20361365344.0,298,3.488
rolling_std_30,10793870984.0,39,1.849
lag_7,10485233862.0,38,1.796
price_change_30d,9569049834.0,119,1.639
rolling_mean_30,7386939360.0,12,1.265
District,4649991174.0,149,0.797
month_cos,3846752096.0,78,0.659
WeekOfYear,3760733078.0,119,0.644
month_sin,1680218956.0,51,0.288
Year,571702010.0,26,0.098
lag_30,532569760.0,22,0.091
is_outlier_iqr,424112900.0,4,0.073
lag_21,244320500.0,11,0.042
rolling_std_7,241200439.0,17,0.041
records_aggregated,144440320.0,7,0.025
Month,126881480.0,7,0.022
