Feature,Gain,Split,Gain_pct
rolling_mean_7,173305703041.0,299,60.571
rolling_mean_30,39354250624.0,211,13.754
price_change_7d,20497014080.0,479,7.164
District,9766231237.0,573,3.413
WeekOfYear,9667168046.0,542,3.379
lag_7,9637143502.0,139,3.368
price_change_30d,7616649397.0,255,2.662
lag_3,4313576275.0,83,1.508
month_cos,3377166456.0,155,1.18
lag_14,2294330165.0,124,0.802
rolling_std_30,1921456766.0,141,0.672
Year,1414254640.0,114,0.494
lag_30,720684397.0,78,0.252
lag_21,670805268.0,76,0.234
rolling_std_7,646949447.0,100,0.226
Month,393952460.0,35,0.138
month_sin,389923270.0,37,0.136
records_aggregated,134448390.0,18,0.047
