Feature,Gain,Split,Gain_pct
rolling_mean_7,132284441206.39648,492,78.805
lag_1,31889163750.390625,556,18.997
price_change_1d,1700213275.59375,843,1.013
price_change_7d,506176798.9453125,607,0.302
WeekOfYear,374757122.1845703,373,0.223
District,180685831.59765625,402,0.108
price_change_30d,157161769.5361328,347,0.094
rolling_mean_30,133262552.00097656,317,0.079
month_sin,111735349.00390625,155,0.067
lag_3,104313930.40234375,260,0.062
lag_7,96627434.015625,200,0.058
rolling_std_30,83736308.4145813,333,0.05
lag_14,73559419.98901367,249,0.044
lag_30,58969109.5859375,160,0.035
Year,47921400.6015625,26,0.029
records_aggregated,35663727.89453125,97,0.021
Month,24763273.703125,58,0.015
